id,product_full_name,product_fabric_icon_1,slug_fabric_icon_1,product_fabric_icon_2,slug_fabric_icon_2,product_fabric_icon_3,slug_fabric_icon_3,product_fabric_icon_4,slug_fabric_icon_4,product_fabric_icon_5,slug_fabric_icon_5,show_on_category_page,popular,is_new,available_for_delivery_2,available_for_delivery_28,available_in_showroom,product_img,description,price,closeup,width,depth,height,pdf,product_inside,product_inside_pillow,carcas_type,paws_type,mechanism_type,sleep_place,linen_drawer,scheme,features,created,updated,product_slug,category_id,collection_id,fabric_name_id,popover_id,slider_interior_id,carousel_item_1,carousel_item_2,carousel_item_3,carousel_item_4,carousel_item_5,carousel_item_mob_1,carousel_item_mob_2,carousel_item_mob_3,carousel_item_mob_4,carousel_item_mob_5,price_old,popover_img,carousel_item_6,carousel_item_mob_6,product_img_mob
29,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_CORSO_08_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_CORNER_ST_LEFT_CORSO_08_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:01:56.427 +0300,Consono-cornerstl-corso-08,1,1,8,1,2,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_05.jpg,120000,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_CORNER_ST_LEFT_CORSO_08_GOODS_02.png
30,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_KILIAN_01_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_CORNER_ST_LEFT_KILIAN_01_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/consono_pouf.svg,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:32.358 +0300,Consono-cornerstl-kilian-01,1,1,7,1,2,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_05.jpg,10000,popovers/CONSONO_ARM_CAMBRIDGE_600_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_CORNER_ST_LEFT_KILIAN_01_GOODS_02.png
31,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_ARM_PIXEL_FOREST_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:54.497 +0300,Consono-cornerstl-pixel-forest,1,1,4,1,2,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CARD_MOB_05.jpg,4512,popovers/CONSONO_ARM_VELUTTO_32_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_GOODS_02.png
32,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_TEDDY_955_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_CORNER_ST_LEFT_TEDDY_955_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER_ZCo8qaA.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:09.944 +0300,Consono-cornerstl-teddy-955,1,1,6,1,2,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_TEDDY_955_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_TEDDY_955_CARD_MOB_05.jpg,11111,popovers/CONSONO_ARM_JAZZ_01_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_CORNER_ST_LEFT_TEDDY_955_GOODS_02.png
33,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_VELUTTO_04_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:46.955 +0300,Consono-cornerstl-velutto-04,1,1,9,1,2,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_05.jpg,13250,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_CORNER_ST_LEFT_VELUTTO_04_GOODS_02.png
34,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_MOD_1_CORSO_08_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_ARM_CORSO_08_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:01:56.427 +0300,consono-mod1--corso-08,1,1,8,1,2,carousel/CONSONO_MOD_1_CORSO_08_CARD_01.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_02.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_03.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_04.jpg,carousel/CONSONO_ARM_CORSO_08_CARD_05.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_CORSO_08_CARD_MOB_05.jpg,120000,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_MOD_1_CORSO_08_GOODS_02.png
35,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_MOD_1_KILIAN_01_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_ARM_KILIAN_01_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/consono_pouf.svg,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:32.358 +0300,consono-mod1-kilian-01,1,1,7,1,2,carousel/CONSONO_MOD_1_KILIAN_01_CARD_01.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_02.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_03.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_04.jpg,carousel/CONSONO_ARM_KILIAN_01_CARD_05.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_KILIAN_01_CARD_MOB_05.jpg,10000,popovers/CONSONO_ARM_CAMBRIDGE_600_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_MOD_1_KILIAN_01_GOODS_02.png
36,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_MOD_1_PIXEL_FOREST_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_ARM_PIXEL_FOREST_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:54.497 +0300,consono-mod1-pixel-forest,1,1,4,1,2,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_01.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_02.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_03.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_04.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_05.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_CORSO_PIXEL_FOREST_MOB_04.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_05.jpg,4512,popovers/CONSONO_ARM_VELUTTO_32_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_MOD_1_PIXEL_FOREST_GOODS_02.png
37,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_MOD_1_TEDDY_955_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_ARM_TEDDY_955_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER_ZCo8qaA.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:09.944 +0300,consono-mod1-teddy-955,1,1,6,1,2,carousel/CONSONO_MOD_1_TEDDY_955_CARD_01.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_02.jpg,carousel/CONSONO_MOD_1_TEDDY_955_03.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_04.jpg,carousel/CONSONO_ARM_TEDDY_955_CARD_05.jpg,carousel/CONSONO_MOD_1_CORSO_TEDDY_955_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_05.jpg,11111,popovers/CONSONO_ARM_JAZZ_01_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_MOD_1_TEDDY_955_GOODS_02.png
38,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_MOD_1_VELUTTO_04_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122,closeups/CONSONO_ARM_VELUTTO_04_CLOSEUP.jpg,283,72,84,pdf/2024/01/25/CONSONO-CORNER.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/2024/01/25/CONSONO-CORNER.pdf,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 14:02:46.955 +0300,consono-mod1-velutto-04,1,1,9,1,2,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_01.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_02.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_03.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_04.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_05.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_05.jpg,13250,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,static/img/popovers_arm.png,static/img/popovers_arm.png,images/CONSONO_MOD_1_VELUTTO_04_GOODS_02.png
